Using device: cuda
Epoch[10/500], loss: 0.024156222119927406
Epoch[20/500], loss: 0.012476030737161636
Epoch[30/500], loss: 0.005298668518662453
Epoch[40/500], loss: 0.0023940089158713818
Epoch[50/500], loss: 0.0009359917021356523
Epoch[60/500], loss: 0.0006278459914028645
Epoch[70/500], loss: 0.000377582386136055
Epoch[80/500], loss: 0.0002490860933903605
Epoch[90/500], loss: 0.00023863581009209156
Epoch[100/500], loss: 0.0002282427594764158
Epoch[110/500], loss: 0.0002816723135765642
Epoch[120/500], loss: 0.00011340044875396416
Epoch[130/500], loss: 0.0001664187147980556
Epoch[140/500], loss: 0.00015033020463306457
Epoch[150/500], loss: 0.00017299527826253325
Epoch[160/500], loss: 0.00022849295055493712
Epoch[170/500], loss: 0.0002191713429056108
Epoch[180/500], loss: 0.00038654045783914626
Epoch[190/500], loss: 0.0004088211862836033
Epoch[200/500], loss: 0.00019981764489784837
Epoch[210/500], loss: 0.00011109252227470279
Epoch[220/500], loss: 2.261893496324774e-05
Epoch[230/500], loss: 1.1774947779485956e-05
Epoch[240/500], loss: 1.0262553587381262e-05
Epoch[250/500], loss: 9.070299711311236e-06
Epoch[260/500], loss: 8.288877324957866e-06
Epoch[270/500], loss: 1.0225526239082683e-05
Epoch[280/500], loss: 9.221497748512775e-06
Epoch[290/500], loss: 1.0242993994324934e-05
Epoch[300/500], loss: 1.587503902555909e-05
Epoch[310/500], loss: 4.7035340685397387e-05
Epoch[320/500], loss: 4.3951044062851e-05
Epoch[330/500], loss: 0.0002626899804454297
Epoch[340/500], loss: 0.0008113494259305298
Epoch[350/500], loss: 0.0003207597474101931
Epoch[360/500], loss: 0.00035355566069483757
Epoch[370/500], loss: 6.648030102951452e-05
Epoch[380/500], loss: 2.4396778826485388e-05
Epoch[390/500], loss: 1.3061543540970888e-05
Epoch[400/500], loss: 1.3231448065198492e-05
Epoch[410/500], loss: 4.33303284808062e-06
Epoch[420/500], loss: 3.407664735277649e-06
Epoch[430/500], loss: 1.9162343960488215e-06
Epoch[440/500], loss: 1.737464458528848e-06
Epoch[450/500], loss: 1.6571237893003854e-06
Epoch[460/500], loss: 1.8578729168439168e-06
Epoch[470/500], loss: 4.407675078255124e-06
Epoch[480/500], loss: 1.866567436081823e-05
Epoch[490/500], loss: 5.70239317312371e-05
Epoch[500/500], loss: 0.00010212123743258417
