Using device: cuda
Epoch[10/300], loss: 0.03973942995071411
Epoch[20/300], loss: 0.024937031790614128
Epoch[30/300], loss: 0.014904205687344074
Epoch[40/300], loss: 0.008593461476266384
Epoch[50/300], loss: 0.0050021507777273655
Epoch[60/300], loss: 0.002725367434322834
Epoch[70/300], loss: 0.0016192110488191247
Epoch[80/300], loss: 0.0011089886538684368
Epoch[90/300], loss: 0.000992891495116055
Epoch[100/300], loss: 0.0008373063174076378
Epoch[110/300], loss: 0.0004486609250307083
Epoch[120/300], loss: 0.00036037483369000256
Epoch[130/300], loss: 0.00030557336867786944
Epoch[140/300], loss: 0.00016024845535866916
Epoch[150/300], loss: 0.0001231858041137457
Epoch[160/300], loss: 0.00010935351747320965
Epoch[170/300], loss: 0.00030421922565437853
Epoch[180/300], loss: 0.0002522192371543497
Epoch[190/300], loss: 0.00032399361953139305
Epoch[200/300], loss: 0.000278626597719267
Epoch[210/300], loss: 9.453228994971141e-05
Epoch[220/300], loss: 9.269063593819737e-05
Epoch[230/300], loss: 4.322088716435246e-05
Epoch[240/300], loss: 5.7140347053064033e-05
Epoch[250/300], loss: 4.227360841468908e-05
Epoch[260/300], loss: 4.1187169699696824e-05
Epoch[270/300], loss: 7.880557677708566e-05
Epoch[280/300], loss: 0.0001149926392827183
Epoch[290/300], loss: 0.00040515908040106297
Epoch[300/300], loss: 0.00013532316370401531
