Using device: cuda
Epoch[10/500], loss: 0.04030834138393402
Epoch[20/500], loss: 0.028024857863783836
Epoch[30/500], loss: 0.018714072182774544
Epoch[40/500], loss: 0.010828066617250443
Epoch[50/500], loss: 0.006170688662678003
Epoch[60/500], loss: 0.002965545514598489
Epoch[70/500], loss: 0.001204926404170692
Epoch[80/500], loss: 0.0007268572226166725
Epoch[90/500], loss: 0.0004883781657554209
Epoch[100/500], loss: 0.0003980171459261328
Epoch[110/500], loss: 0.0002786477853078395
Epoch[120/500], loss: 0.0002226961514679715
Epoch[130/500], loss: 0.00024550931993871927
Epoch[140/500], loss: 0.0003259075165260583
Epoch[150/500], loss: 0.0001982064131880179
Epoch[160/500], loss: 0.0001302901655435562
Epoch[170/500], loss: 8.422812243225053e-05
Epoch[180/500], loss: 7.161943358369172e-05
Epoch[190/500], loss: 6.421385478461161e-05
Epoch[200/500], loss: 9.276016498915851e-05
Epoch[210/500], loss: 0.00012009227793896571
Epoch[220/500], loss: 0.00010899903281824663
Epoch[230/500], loss: 9.962121112039313e-05
Epoch[240/500], loss: 0.00012526835780590773
Epoch[250/500], loss: 0.0004002562491223216
Epoch[260/500], loss: 0.0005295207956805825
Epoch[270/500], loss: 0.0002786261320579797
Epoch[280/500], loss: 0.0001527470740256831
Epoch[290/500], loss: 0.0001448544062441215
Epoch[300/500], loss: 3.794317672145553e-05
Epoch[310/500], loss: 4.5949596824357286e-05
Epoch[320/500], loss: 3.100704270764254e-05
Epoch[330/500], loss: 7.165381248341873e-05
Epoch[340/500], loss: 2.8568390916916542e-05
Epoch[350/500], loss: 2.1998836018610746e-05
Epoch[360/500], loss: 1.9336492186994292e-05
Epoch[370/500], loss: 1.167407026514411e-05
Epoch[380/500], loss: 4.744484158436535e-06
Epoch[390/500], loss: 3.031303776879213e-06
Epoch[400/500], loss: 3.115571644229931e-06
Epoch[410/500], loss: 1.9039404151044437e-06
Epoch[420/500], loss: 1.8074894114761264e-06
Epoch[430/500], loss: 9.0282225073679e-07
Epoch[440/500], loss: 6.117570592323318e-07
Epoch[450/500], loss: 6.297595973592252e-07
Epoch[460/500], loss: 7.589478059344401e-07
Epoch[470/500], loss: 5.560374916058208e-07
Epoch[480/500], loss: 4.740640804357099e-07
Epoch[490/500], loss: 6.951143518563185e-07
Epoch[500/500], loss: 6.609178058170073e-07
