Using device: cuda
Epoch[10/300], loss: 0.03998513147234917
Epoch[20/300], loss: 0.02630222588777542
Epoch[30/300], loss: 0.0162160973995924
Epoch[40/300], loss: 0.009211993776261806
Epoch[50/300], loss: 0.006552656646817923
Epoch[60/300], loss: 0.0029873463790863752
Epoch[70/300], loss: 0.0015165026998147368
Epoch[80/300], loss: 0.0009180164779536426
Epoch[90/300], loss: 0.0008792418520897627
Epoch[100/300], loss: 0.0004025522794108838
Epoch[110/300], loss: 0.0005086961318738759
Epoch[120/300], loss: 0.0003351501654833555
Epoch[130/300], loss: 0.0002866933646146208
Epoch[140/300], loss: 0.0004165260761510581
Epoch[150/300], loss: 0.00017035198106896132
Epoch[160/300], loss: 9.157773456536233e-05
Epoch[170/300], loss: 0.0001093972023227252
Epoch[180/300], loss: 9.316902287537232e-05
Epoch[190/300], loss: 9.29506859392859e-05
Epoch[200/300], loss: 0.0003211741568520665
Epoch[210/300], loss: 8.050187170738354e-05
Epoch[220/300], loss: 2.3470434825867414e-05
Epoch[230/300], loss: 1.4113870747678448e-05
Epoch[240/300], loss: 1.119468652177602e-05
Epoch[250/300], loss: 8.900590728444513e-06
Epoch[260/300], loss: 1.821467412810307e-05
Epoch[270/300], loss: 2.494326326996088e-05
Epoch[280/300], loss: 2.637901525304187e-05
Epoch[290/300], loss: 3.686435229610652e-05
Epoch[300/300], loss: 8.756303577683866e-05
