Using device: cuda
Epoch[10/500], loss: 0.01770857349038124
Epoch[20/500], loss: 0.010225131176412106
Epoch[30/500], loss: 0.005130790639668703
Epoch[40/500], loss: 0.0023510048631578684
Epoch[50/500], loss: 0.001335721812210977
Epoch[60/500], loss: 0.001036769594065845
Epoch[70/500], loss: 0.0007947628037072718
Epoch[80/500], loss: 0.0007174491765908897
Epoch[90/500], loss: 0.000392657850170508
Epoch[100/500], loss: 0.00025105031090788543
Epoch[110/500], loss: 0.00021382166596595198
Epoch[120/500], loss: 0.00015417468966916203
Epoch[130/500], loss: 0.00010514018504181877
Epoch[140/500], loss: 9.090876119444147e-05
Epoch[150/500], loss: 7.485695095965639e-05
Epoch[160/500], loss: 7.734540122328326e-05
Epoch[170/500], loss: 6.715124618494883e-05
Epoch[180/500], loss: 8.081172563834116e-05
Epoch[190/500], loss: 0.0001332954125246033
Epoch[200/500], loss: 0.0005932459025643766
Epoch[210/500], loss: 0.0001981863024411723
Epoch[220/500], loss: 7.957340130815282e-05
Epoch[230/500], loss: 4.851756602874957e-05
Epoch[240/500], loss: 4.917980913887732e-05
Epoch[250/500], loss: 0.0001174641729448922
Epoch[260/500], loss: 0.00036566154449246824
Epoch[270/500], loss: 0.00034183450043201447
Epoch[280/500], loss: 0.00018612337589729577
Epoch[290/500], loss: 7.62092531658709e-05
Epoch[300/500], loss: 3.565260340110399e-05
Epoch[310/500], loss: 3.1412102543981746e-05
Epoch[320/500], loss: 3.057025242014788e-05
Epoch[330/500], loss: 5.536787284654565e-05
Epoch[340/500], loss: 4.8469537432538345e-05
Epoch[350/500], loss: 2.7364912966731936e-05
Epoch[360/500], loss: 1.6165551642188802e-05
Epoch[370/500], loss: 3.0352413887158036e-05
Epoch[380/500], loss: 5.384407995734364e-05
Epoch[390/500], loss: 7.630443724337965e-05
Epoch[400/500], loss: 4.015898230136372e-05
Epoch[410/500], loss: 8.055525540839881e-05
Epoch[420/500], loss: 0.00022644114505965263
Epoch[430/500], loss: 0.0001665553281782195
Epoch[440/500], loss: 5.691162004950456e-05
Epoch[450/500], loss: 6.669859430985525e-05
Epoch[460/500], loss: 0.00022070917475502938
Epoch[470/500], loss: 0.00023780809715390205
Epoch[480/500], loss: 0.00010039948392659426
Epoch[490/500], loss: 5.119956404087134e-05
Epoch[500/500], loss: 9.513265831628814e-05
