Succinic acid,Spermine,Spermidine,N-Formyl-L-Methionine,Indole-3-acetic acid,N-Acetyl-D-glucosamine,Malonic acid,L-Aspartic acid,L-Asparagine,Isonicotinic acid,Glutaric acid,Fumaric acid,L-Serine,Amantadine,Allantoin,Sinapic acid,Adenosine,Adenine,L-Iditol,beta-Alanine,Melibiose,L-Valine,L-Norleucine,L-Lysine,L-Isoleucine,L-Glutamine,L-Glutamic acid,Maltotriose,Acetophenone,Testosterone,METHYL PROPIONATE,Methyl hexanoate,Fenchol,(+)-Borneol,cis-Citral,Diethyl fumarate,trans-Cinnamyl alcohol,DIETHYL MALEATE,Anthracene,Pyrene
0.010707073,-0.08316723,-0.08602505,-0.31130037,-0.14636171,0.5793061,0.082824506,-0.33485043,-0.16714674,-0.025005085,-0.025143204,-0.027863907,-0.2894463,0.12128262,-0.45134714,-0.32683796,0.2807906,-0.07404468,0.73898107,-0.10419393,0.37296802,-0.22371343,-0.25635132,-0.199218,-0.1418745,-0.15205398,-0.36750984,0.45311904,0.28016654,0.50646585,-0.051904757,-0.17804717,0.45473355,0.3537351,-0.23717803,-0.29284966,0.0046206303,-0.29284966,0.097415425,-0.09623493
-0.0019248081,-6.745508e-05,-9.924363e-05,-0.00062314386,-0.00027957425,-0.68720245,-0.0014806195,-0.0021908414,-0.00084124587,-0.0016493612,-0.0031125396,-0.0019357908,-0.0106044095,-0.0022377484,-0.0007378673,-0.008830047,-0.7897327,-0.00028439565,-0.84706485,-0.00064703164,-0.9697,-0.0013870959,-0.0011402761,-0.000822371,-0.0015121456,-0.0012072909,-0.0031291754,-0.97902304,-0.0011333422,-0.03598812,-0.003382995,-0.0016696583,-0.02430124,-0.024881668,-0.0038621617,-0.0033016389,-0.002651086,-0.0033016389,-0.00023174542,-0.00037209544
0.012975354,0.00033313452,0.00055105117,-0.098308615,0.4305952,0.16282664,0.006869484,0.40061364,0.40281695,0.09360115,0.019259783,0.02060694,0.074099205,0.06832352,0.5601408,0.19325721,0.21407714,0.4203864,0.03848891,0.080286585,0.2097981,0.25710237,0.021873951,0.03329105,0.14073071,0.3358692,0.21904814,0.22947864,0.28974003,0.0018317463,0.1363786,0.023762057,0.006561429,0.006140539,0.026407212,0.0060804794,0.13442358,0.0060804794,0.32026246,0.15318957
-0.0015807807,-0.00016610367,-0.00018555787,-0.00592586,-0.0538648,-0.3350077,-0.0007584326,-0.004725102,-0.002065073,-0.023519019,-0.0040415814,-0.004721067,-0.0022935327,-0.0029226087,-0.36245456,-0.0017977487,-0.69468814,-0.15813929,-0.0064062257,-0.0011739504,-0.056402333,-0.0011242036,-0.0017212423,-0.0015005356,-0.0028786561,-0.0024203775,-0.005034689,-0.07761243,-0.001478822,-0.0058282064,-0.002501361,-0.0007779072,-0.00080544694,-0.0007913995,-0.00011725555,-0.00077042857,-0.0007843415,-0.00077042857,-0.0004183219,-0.0005811921
-0.10187512,-0.11588655,-0.08811339,-0.019804891,-0.23179227,-0.112002306,-0.03632824,-0.12972082,-0.055402026,-0.061080463,-0.13752055,-0.12426989,-0.0906968,-0.13817863,-0.0400785,-0.14576754,-0.027692864,-0.051386185,-0.107876025,-0.14986354,-0.2683793,-0.2292539,-0.13259798,-0.120182484,-0.13495617,-0.06336703,-0.1406403,-0.20666213,-0.048456036,-0.071521804,-0.13815305,-0.113611415,-0.25583765,-0.43889558,-0.094809934,-0.12710917,-0.10559308,-0.12710917,-0.15553193,-0.1385277
-0.0068664993,-0.00022391845,-0.00051588315,-0.005104314,-0.12476681,-0.027800096,-0.002262475,-0.01207424,-0.004005363,-0.2003023,-0.009174422,-0.025400037,-0.013005685,-0.0086417915,-0.0001917016,-0.18664448,-0.37842223,-0.040681366,-0.019379387,-0.018823592,-0.06183191,-0.21908061,-0.21911845,-0.015955867,-0.13098063,-0.008387335,-0.018344088,-0.06570739,-0.12143592,-0.19297092,-0.12996359,-0.20254491,-0.45988914,-0.4746734,-0.2511033,-0.027214546,-0.30324593,-0.027214546,-0.06785458,-0.069915324
-0.28529993,-0.5074935,-0.36995766,-0.33739495,-0.057769805,-0.24167357,-0.20578486,-0.1585185,-0.4028565,-0.032087997,-0.16936551,-0.33621296,-0.31330377,-0.09406397,-0.22974677,-0.2517636,-0.35828742,-0.17699035,-0.040103257,-0.1856996,-0.061359785,-0.3261174,-0.23773015,-0.3153754,-0.28642336,-0.3670336,-0.15832871,-0.048879053,-0.06538356,-0.15511578,-0.0472571,-0.04754789,-0.056838065,-0.047923233,-0.25248575,-0.2375655,-0.09553205,-0.2375655,-0.10207369,-0.06662344
-0.03172249,-6.204895e-05,-7.813437e-05,-0.0029336675,-0.029711615,-0.029419003,-0.009654804,-0.0059145046,-0.010399691,-0.050654218,-0.04548459,-0.04530418,-0.0014286984,-0.0046194852,-0.008221999,-0.030526336,-0.07143284,-0.014621216,-0.0016778457,-0.0026464735,-0.021560535,-0.015886454,-0.007435462,-0.0006124843,-0.009751617,-0.017381629,-0.004092273,-0.013772698,-0.22001235,-0.074470356,-0.35196012,-0.30235296,-0.088564195,-0.08462544,-0.19328484,-0.17713167,-0.061294038,-0.17713167,-0.03981229,-0.03602137
0.026993092,0.00602088,0.008280455,0.0045985566,0.00040686372,0.0054632085,0.039545104,0.0016069853,0.0006479926,0.0040362086,0.01848797,0.049744558,0.003633134,0.003617663,0.000116363546,0.0010631942,0.012447873,0.000941236,0.0029502504,0.003876136,0.0024603894,0.0013161448,0.0025321501,0.002027557,0.0029104312,0.0009282309,0.0022959213,0.0030020806,0.0015631365,0.00064417644,0.0007481818,0.0025556742,0.0011450776,0.0021999872,0.004302471,0.0010271703,0.0036328977,0.0010271703,0.00063069,0.00066300237
-0.018937713,-0.105704166,-0.110278554,-0.43514842,-0.41507217,-0.3174846,-0.03087679,-0.41846898,-0.21585642,-0.33704463,-0.034894247,-0.013457187,-0.42090195,-0.44892842,-0.3422194,0.20612186,-0.44939616,-0.5056767,-0.3776438,-0.16768177,-0.21153213,-0.11843999,-0.31840515,-0.1177637,-0.16045405,-0.21957196,-0.44497302,-0.1803906,-0.35050514,-0.3775258,-0.3511746,-0.4424598,-0.07833892,-0.23665893,-0.15637857,-0.42529488,-0.36352885,-0.42529488,-0.52914155,-0.36541492
