Succinic Acid,Spermidine,Gamma-Amino-N-Butyric Acid,Malonic Acid,L-Aspartic Acid,L-Asparagine,Glycylglycine,Glutaric Acid,Fumaric Acid,L-Serine,Ethanolamine,Allantoin,"1,4-Butanediamine",4-Hydroxyphenylpyruvic Acid,Beta-Alanine,L-Valine,L-Ornithine,L-Norleucine,L-Lysine,L-Glutamine,L-Alanine,L-Tyrosine,Tryptophan,L-Leucine,Glycine,Glycerol,Caffeine,"1,3-Diaminopropane",Phenanthrene,Lauric Acid,Benzoic Acid,Anthracene,"(5R,11R)-5,11-Dimethylpentacosane",Pyrene,Fluorene,Biphenyl,Naphthalene,Pentadecane,Undecane,Hexachlorobenzene,Benzyl Benzoate,1-Hexanol,Methyl Benzoate,Methyl Octadecanoate,1-Octanol,Isopentyl Acetate,Methyl Hexanoate,2-Octanol,Benzyl Alcohol,Testosterone
0.010707073,-0.08602505,-0.11588158,0.082824506,-0.32769734,-0.16714674,-0.0568881,-0.025143204,-0.027863907,-0.2894463,0.027099065,-0.45134714,-0.10089842,-0.23020823,-0.10419393,-0.22371343,-0.17992267,-0.25635132,-0.199218,-0.15205398,-0.055693604,-0.33909494,-0.13616307,-0.25062892,-0.10210256,0.027052151,-0.35460323,-0.041885808,0.0047236057,-0.14223975,0.060134582,0.097415425,-0.16403691,-0.09623493,-0.057267815,0.17333089,0.28918773,0.12591454,0.20134349,0.03184857,0.211685,0.30217138,0.11925337,-0.22404018,0.48073462,-0.2327423,-0.17804717,0.71814954,0.5243943,0.50646585
-0.0019248081,-9.924363e-05,-0.00070890796,-0.0014806195,-0.0013500269,-0.00084124587,-0.00011324021,-0.0031125396,-0.0019357908,-0.0106044095,-0.004164126,-0.0007378673,-0.00020416011,-0.002187785,-0.00064703164,-0.0013870959,-0.00079202274,-0.0011402761,-0.000822371,-0.0012072909,-0.0014060811,-0.0005451272,-0.0016836348,-0.00079710846,-0.0013663943,-0.17530741,-0.00021747763,-0.00030365994,-0.00018139614,-0.0018706493,-0.0017732118,-0.00023174542,-0.0017957182,-0.00037209544,-0.0001531106,-0.000521301,-0.00023597197,-0.0006542242,-0.0006662866,-0.0004253717,-0.00027912014,-0.026350971,-0.0008674146,-0.0010727522,-0.031417415,-0.0006288514,-0.0016696583,-0.026454503,-0.012914361,-0.03598812
0.012975354,0.00055105117,0.037929945,0.006869484,0.50457525,0.40281695,0.2308089,0.019259783,0.02060694,0.074099205,0.004359104,0.5601408,0.0026659956,0.33193204,0.080286585,0.25710237,0.17774154,0.021873951,0.03329105,0.3358692,0.24992394,0.45917535,0.119622566,0.1597682,0.11238064,0.016244192,0.64742905,0.009245391,0.260731,0.0041731084,0.09917591,0.32026246,0.00016571773,0.15318957,0.14421344,0.2691273,0.3255015,0.001202565,0.0014937661,0.43529397,0.17294554,0.0008427679,0.5610951,0.002333674,0.00050896866,0.00880037,0.023762057,0.0021282118,0.05610493,0.0018317463
-0.0015807807,-0.00018555787,-0.0013160097,-0.0007584326,-0.0064963396,-0.002065073,-0.0020738805,-0.0040415814,-0.004721067,-0.0022935327,-0.0005700635,-0.36245456,-0.00049289555,-0.00515623,-0.0011739504,-0.0011242036,-0.00059573416,-0.0017212423,-0.0015005356,-0.0024203775,-0.0024458054,-0.0033899178,-0.0013871146,-0.0012313711,-0.0020505462,-0.0011774736,-0.69221604,-0.0010703207,-0.0003591493,-0.00083239016,-0.0027052518,-0.0004183219,-0.00036271388,-0.0005811921,-0.00065441505,-0.0007728326,-0.00050171284,-0.0007098587,-0.0007947746,-0.0023203648,-0.0005340563,-0.00033432813,-0.0014656609,-0.000812433,-0.00025974985,-0.000948826,-0.0007779072,-0.0004961262,-0.00032314885,-0.0058282064
-0.10187512,-0.08811339,-0.19103937,-0.03632824,-0.14169784,-0.055402026,-0.08641884,-0.13752055,-0.12426989,-0.0906968,-0.090221256,-0.0400785,-0.052488383,-0.11430246,-0.14986354,-0.2292539,-0.1251042,-0.13259798,-0.120182484,-0.06336703,-0.18620649,-0.09766603,-0.12684366,-0.1613682,-0.11386619,-0.13381483,-0.0052422453,-0.04813121,-0.16268782,-0.1572213,-0.0487393,-0.15553193,-0.066540994,-0.1385277,-0.3418199,-0.03765116,-0.092332095,-0.14835589,-0.1378493,-0.08408534,-0.066445515,-0.16140316,-0.05911832,-0.1121616,-0.16147843,-0.14758568,-0.113611415,-0.22742379,-0.11880551,-0.071521804
-0.0068664993,-0.00051588315,-0.03594415,-0.002262475,-0.009104887,-0.004005363,-0.00067820784,-0.009174422,-0.025400037,-0.013005685,-0.009515609,-0.0001917016,-0.00090165203,-0.01777582,-0.018823592,-0.21908061,-0.0065210396,-0.21911845,-0.015955867,-0.008387335,-0.11785098,-0.21672344,-0.23117733,-0.16759846,-0.023285227,-0.065419964,-0.050319295,-0.0015062843,-0.059363134,-0.186222,-0.092828535,-0.06785458,-0.0042474726,-0.069915324,-0.16607347,-0.056691375,-0.061191034,-0.18370396,-0.19182704,-0.12082231,-0.42816684,-0.21866257,-0.163971,-0.14539061,-0.3503459,-0.28458923,-0.20254491,-0.5831885,-0.16981739,-0.19297092
-0.28529993,-0.36995766,-0.16656171,-0.20578486,-0.13876258,-0.4028565,-0.69111574,-0.16936551,-0.33621296,-0.31330377,-0.21450351,-0.22974677,-0.2408664,-0.18361983,-0.1856996,-0.3261174,-0.34488893,-0.23773015,-0.3153754,-0.3670336,-0.17931308,-0.3175252,-0.050525296,-0.38351932,-0.17234308,-0.0900775,-0.3912076,-0.30252883,-0.10393571,-0.0556082,-0.022068242,-0.10207369,-0.12237579,-0.06662344,-0.067662336,-0.02483101,-0.104416095,-0.07418019,-0.07025624,-0.121029146,-0.105881184,-0.07398493,-0.04142114,-0.06940157,-0.06626768,-0.10784533,-0.04754789,-0.058120918,-0.096152544,-0.15511578
-0.03172249,-7.813437e-05,-0.0023795231,-0.009654804,-0.0037514595,-0.010399691,-0.0013493238,-0.04548459,-0.04530418,-0.0014286984,-0.00077630143,-0.008221999,-0.00034868697,-0.0063169072,-0.0026464735,-0.015886454,-0.0009482777,-0.007435462,-0.0006124843,-0.017381629,-0.010710081,-0.0019226378,-0.40314853,-0.016343448,-0.0042849043,-0.006278987,-0.89149964,-0.0012475632,-0.04138566,-0.03334634,-0.064153016,-0.03981229,-0.077560775,-0.03602137,-0.06843004,-0.042974234,-0.034126036,-0.08357393,-0.08645842,-0.060358386,-0.10811738,-0.02158858,-0.4878211,-0.18118818,-0.01968542,-0.28111428,-0.30235296,-0.053149037,-0.027484285,-0.074470356
0.026993092,0.008280455,0.0037546596,0.039545104,0.0014142836,0.0006479926,0.003229131,0.01848797,0.049744558,0.003633134,0.003617067,0.000116363546,0.005868134,0.0020675722,0.003876136,0.0013161448,0.0030817047,0.0025321501,0.002027557,0.0009282309,0.0021756291,0.0004942982,0.0009239966,0.0032806492,0.0028521696,0.0017029638,0.0011918915,0.004359813,0.00079918146,0.0024451737,0.005901274,0.00063069,0.04106534,0.00066300237,0.0010826319,0.0023497595,0.0007873954,0.0026279069,0.002460495,0.0005262003,0.0007284289,0.0009391064,0.00056622847,0.0058140494,0.00070182356,0.0053255446,0.0025556742,0.0015235497,0.00036337477,0.00064417644
-0.018937713,-0.110278554,-0.2197272,-0.03087679,-0.3219642,-0.21585642,-0.18650076,-0.034894247,-0.013457187,-0.42090195,-0.19553983,-0.3422194,-0.13791849,-0.5730039,-0.16768177,-0.11843999,-0.043973684,-0.31840515,-0.1177637,-0.21957196,-0.09079153,-0.33149627,-0.30442676,-0.053840235,-0.2758135,-0.38693687,0.3393175,-0.13177767,-0.52613705,-0.61184645,-0.3503517,-0.52914155,-0.12302981,-0.36541492,-0.43135375,-0.54558593,-0.62317866,-0.518462,-0.536351,-0.40976164,-0.6843211,-0.5303051,-0.3801387,-0.45708627,-0.60354006,-0.25778666,-0.4424598,-0.5240554,-0.4827422,-0.3775258
