Using device: cuda
Epoch[10/300], loss: 0.04048417881131172
Epoch[20/300], loss: 0.034424956887960434
Epoch[30/300], loss: 0.02367195300757885
Epoch[40/300], loss: 0.014191745780408382
Epoch[50/300], loss: 0.00787477195262909
Epoch[60/300], loss: 0.005140218418091536
Epoch[70/300], loss: 0.0025648304726928473
Epoch[80/300], loss: 0.0014039712259545922
Epoch[90/300], loss: 0.0009894502582028508
Epoch[100/300], loss: 0.0006466028280556202
Epoch[110/300], loss: 0.0004479275085031986
Epoch[120/300], loss: 0.0003596874594222754
Epoch[130/300], loss: 0.0002795025648083538
Epoch[140/300], loss: 0.00023689540103077888
Epoch[150/300], loss: 0.00016996134945657104
Epoch[160/300], loss: 0.0001232428039656952
Epoch[170/300], loss: 9.116149885812774e-05
Epoch[180/300], loss: 7.951714360387996e-05
Epoch[190/300], loss: 0.00011577983968891203
Epoch[200/300], loss: 0.00017332039715256542
Epoch[210/300], loss: 0.00010606995783746243
Epoch[220/300], loss: 9.622913785278797e-05
Epoch[230/300], loss: 0.00021190936968196183
Epoch[240/300], loss: 0.00014512990310322493
Epoch[250/300], loss: 0.0001266181207029149
Epoch[260/300], loss: 9.333008347311988e-05
Epoch[270/300], loss: 8.794360473984852e-05
Epoch[280/300], loss: 4.314675243222155e-05
Epoch[290/300], loss: 1.8652483049663715e-05
Epoch[300/300], loss: 1.721591252135113e-05
