Using device: cuda
Epoch[10/300], loss: 0.010305085219442844
Epoch[20/300], loss: 0.004158813506364822
Epoch[30/300], loss: 0.0019886260852217674
Epoch[40/300], loss: 0.0011818967759609222
Epoch[50/300], loss: 0.0008647842332720757
Epoch[60/300], loss: 0.0006275183986872435
Epoch[70/300], loss: 0.0006340964464470744
Epoch[80/300], loss: 0.00013772798411082476
Epoch[90/300], loss: 0.00022476368758361787
Epoch[100/300], loss: 0.0002929886686615646
Epoch[110/300], loss: 0.001245314022526145
Epoch[120/300], loss: 0.0009884835453704
Epoch[130/300], loss: 0.00019036598678212613
Epoch[140/300], loss: 8.468778105452657e-05
Epoch[150/300], loss: 7.599244418088347e-05
Epoch[160/300], loss: 3.54246876668185e-05
Epoch[170/300], loss: 8.086634625215083e-05
Epoch[180/300], loss: 0.00024576991563662887
Epoch[190/300], loss: 0.0008123001316562295
Epoch[200/300], loss: 0.00014076514344196767
Epoch[210/300], loss: 4.990180968889035e-05
Epoch[220/300], loss: 8.69064824655652e-05
Epoch[230/300], loss: 4.558542059385218e-05
Epoch[240/300], loss: 6.281680543906987e-05
Epoch[250/300], loss: 0.00012574420543387532
Epoch[260/300], loss: 0.0003563906066119671
Epoch[270/300], loss: 0.00017119313997682184
Epoch[280/300], loss: 0.00019145605619996786
Epoch[290/300], loss: 7.855294097680598e-05
Epoch[300/300], loss: 0.00018792939954437315
