Using device: cuda
Epoch[10/500], loss: 0.01812995783984661
Epoch[20/500], loss: 0.009937143884599209
Epoch[30/500], loss: 0.006010375451296568
Epoch[40/500], loss: 0.003223972162231803
Epoch[50/500], loss: 0.0018851211061701179
Epoch[60/500], loss: 0.001166871632449329
Epoch[70/500], loss: 0.000774021667893976
Epoch[80/500], loss: 0.0005651736282743514
Epoch[90/500], loss: 0.0005606431514024734
Epoch[100/500], loss: 0.00043762833229266107
Epoch[110/500], loss: 0.00028384968754835427
Epoch[120/500], loss: 0.00030804896960034966
Epoch[130/500], loss: 0.0004417898890096694
Epoch[140/500], loss: 0.00027339436928741634
Epoch[150/500], loss: 0.00018946558702737093
Epoch[160/500], loss: 9.54713104874827e-05
Epoch[170/500], loss: 7.047416147543117e-05
Epoch[180/500], loss: 5.5966607760638e-05
Epoch[190/500], loss: 4.0855204133549705e-05
Epoch[200/500], loss: 4.514316970016807e-05
Epoch[210/500], loss: 0.00012100229650968686
Epoch[220/500], loss: 0.0003346169542055577
Epoch[230/500], loss: 0.00027277838671579957
Epoch[240/500], loss: 0.00016402080655097961
Epoch[250/500], loss: 6.588438554899767e-05
Epoch[260/500], loss: 3.809487316175364e-05
Epoch[270/500], loss: 2.1702244339394383e-05
Epoch[280/500], loss: 1.9252127458457835e-05
Epoch[290/500], loss: 3.078195732086897e-05
Epoch[300/500], loss: 1.6653631973895244e-05
Epoch[310/500], loss: 2.693678834475577e-05
Epoch[320/500], loss: 3.756343721761368e-05
Epoch[330/500], loss: 7.653605280211195e-05
Epoch[340/500], loss: 0.0003262762038502842
Epoch[350/500], loss: 0.0005406429409049451
Epoch[360/500], loss: 0.0001730069488985464
Epoch[370/500], loss: 6.482614116976038e-05
Epoch[380/500], loss: 2.0815772586502135e-05
Epoch[390/500], loss: 8.077403435891028e-06
Epoch[400/500], loss: 6.419417331926525e-06
Epoch[410/500], loss: 8.926811460696626e-06
Epoch[420/500], loss: 1.0712923540268093e-05
Epoch[430/500], loss: 2.400096673227381e-05
Epoch[440/500], loss: 7.285986066563055e-05
Epoch[450/500], loss: 8.46282418933697e-05
Epoch[460/500], loss: 0.00016279281408060342
Epoch[470/500], loss: 0.0001519912329968065
Epoch[480/500], loss: 8.750171400606632e-05
Epoch[490/500], loss: 3.09994793497026e-05
Epoch[500/500], loss: 1.5787894881214015e-05
